우리가 만들어 놓은 문장에 대해 평가해보고, 어떤걸 좋다고 생각하는지 파악해서 이를 프레임워크에 반영하는 작업을 해보자				
				
		쓸지 말지 판단		
		문장 다듬기(-요?)		
	No	문장	출처	사용할 문장만 다듬어서 적어 놓자
	1	휴대폰 없는 하루를 생각해본적 있나요?	휴대폰 없는 하루를 생각해본 적 있나요?	
	2	나에게 연락이란?	나에게 '연락'은 어떤 의미인가요?	
	3	연결은 나에게 어떤 의미인가?		
	4	내가 가장 기다렸던 연락은?	살면서 가장 기다렸던 연락이 있나요?	
	5	나에게 초능력이 생긴다면?	초능력이 생긴다면, 어떤 능력을 가지고 싶나요?	
	6	당신은 꼰대인가요?	나는 꼰대일까요?	
	7	좋아하는일과 잘하는 일중 어떤걸 선택할까요?	좋아하는 일과 잘하는 일, 어떤 일을 선택해야 할까요?	
	8	우리에게 남은 시간이 단 일년 이라면?	유퀴즈	
	9	복권에 당첨되면 제일 먼저 하고 싶은 일은?	복권에 당첨된다면 가장 먼저 하고싶은 일은 무엇인가요?	
	10	다시 태어난다면 무엇으로 태어나고 싶나요?	유퀴즈	
	11	성격이 이상형, 외모가 이상형?	성격이 이상형인 사람과 외모가 이상형인 사람, 어느 쪽을 선택할 건가요?	
	12	내 체중을 마음대로 할 수 있다면?		
	13	내가 가장 멋져보일때는?	내가 가장 멋져보였던 때는 언제인가요?	
	14	내 외모가 가장 마음에 들었던 때는?		
	15	좋아하는 사람한테 고백하기 vs 나를 좋아하는 사람에게 고백받기	나는 좋아하는 사람에게 먼저 고백하는 사람인가요, 좋아하는 사람이 나에게 고백하기를 기다리는 사람인가요?	
	16	아무에게도 고백하지 못한 비밀이 있나요?	아무에게도 고백하지 못한 비밀이 있나요?	
	17	지금이라도 얘기하고 싶은 말이 있나요?	그때 하지 못했지만 지금이라도 털어놓고 싶은 이야기가 있나요?	
	18	제때 털어놓지 못해 후회하지 못한 적이 있나요?		
	19	좋아하는 사람에게 다섯글자로 고백한다면?	지금 좋아하는 사람에게 다섯 글자로 고백한다면?	
	20	내 인생의 가장 결정적인 순간은 언제인가요?	내 인생의 가장 결정적인 순간은 언제인가요?	
	21	인생의 3번의 기회가 있다는데, 그 세번 중 몇번 지나갔을까요?	인생에는 3번의 기회가 찾아온다고 하죠. 지금 내 인생에는 몇 번의 기회가 남아있을까요?	
	22	나에게 타이밍이란?		
	23	고양이 vs 강아지	나는 고양이파? 강아지파?	
	24	반려동물이 지금 나에게 하고 싶은 말은?	요즘 반려동물은 나에게 어떤 이야기를 하고 싶을까요?	
	25	반려동물과 소통할 수 있다면 가장 물어보고 싶은것은?	반려동물에게 가장 물어보고 싶은 것은 무엇인가요?	
	26	눈물날 만큼 행복한적 있나요?	눈물 날만큼 행복했던 순간이 있나요?	
	27	내인생에서 가장 가치 있었던 눈물		
	28	어른이 된 뒤로 소리내어 울어본적 있나요?	어른이 된 후에 소리내어 울어본 적이 있나요?	
	29	나를 울린 작품이 있나요?		
	30	슬플때 내가 하는 행동이 있나요?	나의 슬픔을 달래기 위해 하는 행동이 있나요?	
	31	정성스런 선물 vs 비싼 선물		
	32	공들여 쌓은 탑이 무너진적있나요?	공들여 쌓은 탑이 무너지는 경험을 한 적 있나요?	
	33	나에게 집이란?	나에게 집이란 어떤 의미인가요?	
	34	강남 아파트 vs 정원딸린 강원도 호화로운 저택		
	35	내가 가장 편안함을 느끼는 공간은 어디인가요?	내가 가장 편안함을 느끼는 곳은 어디인가요?	
	36	집떠나서 개고생한적 있나요?	타지에서 고생해본 경험이 있나요?	
	37	집에 불났을때 딱하나 챙겨올 수 있다면?	우리집에서 딱 한 가지만 남기고 모두 버린다면 어떤 것을 남길건가요?	
	38	내 마음의 고향이 있나요?		
	39	내가 도착하기만 하면 편안함을 느끼는 공간은????		
	40	누구나 지켜야하는 내 집의 규칙이 있나요?	어떤 손님이 오더라도 지켜주었으면 하는 내 집의 규칙이 있나요?	
	41	배려가 때로 불편하게 느껴진 적이 있나요?	타인의 배려가 오히려 불편하게 느껴졌던 적이 있나요?	
	42	내가 견딜 수 없는 타인의 행동이 있나요?	내가 견딜 수 없는 타인의 행동이 있나요?	
	43	현대 사회 문제중 가장 못마땅한게 있나요?	사회 문제 중 내가 가장 먼저 해결되길 바라는 것이 있나요?	
	44	나에게 엄마란	나에게 엄마는 어떤 의미인가요?	
	45	엄마가 나의 자식이 된다면 나는 어떻게 키울것인가?	엄마가 나의 자식이 된다면 어떤 말을 해주고 싶은가요?	
	46	나의 인생을 연극으로 생각한다면 장르는?	내 인생이 영화라면, 엔딩크레딧에 이름을 올릴 사람은 누구인가요?	
	47	내가 엄마를 봤을때 가장 못마땅한 것은?	내가 엄마에 대해 가장 못마땅하게 생각하는 것은 무엇인가요?	
	48	엄마가 나를 봤을때 가장 못마땅하게 생각하는 것은?	엄마가 나에게 가장 많이 하는 잔소리는 무엇인가요?	
	49	엄마가 가장 행복했을꺼 같은 때는?	엄마가 가장 행복했던 순간은 언제일까요?	
	50	내가 부모님에게서 가장 닮고 싶은점은?	부모님에게서 가장 닮고 싶은 점이 있나요?	
	51	엄마는 어른인가요?	엄마는 어른일까요?	
	52	내 나이의 엄마에게 해주고 싶은 말은?	내 나이의 엄마를 만난다면 해주고 싶은 말이 있나요?	
	53	나에게 편안함을 주는 자리가 있나요?		
	54	최근에 가장 크게 느껴지는 빈자리가 있나요?		
	55	문득 느껴지는 빈자리가 있나요?	문득 느껴지는 빈자리가 있나요?	
	56	자리가 사람을 만든다고 생각하나요?	자리가 사람을 만든다는 말에 동의하나요?	
	57	나에게 실패란	나에게 실패란 어떤 의미인가요?	
	58	실패를 딛고 있어난적이 있나요?		
	59	내 인생의 최대 실패 경험을 알려주세요.	내가 겪은 가장 커다란 실패에 대해 이야기해주세요	
	60	실패가 오히려 도움이 된 적이 있나요?	실패가 오히려 도움이 된 경험이 있나요?	
	61	평생 딱한가지의 음식을 먹어야한다면?	남은 평생동안 단 한 가지의 음식만 먹어야 한다면 어떤 음식을 선택할 건가요?	
	62	내가 가진 것 중 딱 한가지만 바꿀 수 있다면?	나에 대해 딱 한 가지만 바꿀 수 있다면 어떤 것을 바꾸고 싶나요?	
	63	과거의 일 중 딱 한가지 사실을 알 수 있다면?	이해되지 않았던 과거의 일 중 가장 설명이 듣고 싶은 한 가지가 있다면 무엇인가요?	
	64	미래의 일 중 딱 한가지 사실을 알 수 있다면?	미래에 일어날 일 중 딱 한 가지를 알 수 있다면 어떤 것이 궁금한가요?	
	65	내가 세상에서 가장 무서워하는 딱한가지는?	내가 세상에서 가장 무서워하는 한 가지는 무엇인가요?	
	66	과거의 나에게 딱 한마디만 해줄 수 있다면?	과거의 나에게 한 마디 해줄 수 있다면, 언제의 나에게 어떤 말을 해주고 싶은가요?	
	67	공짜가 무섭다고 느낀적이 있나요?	수업료를 가장 비싸게 치른 내 인생의 교훈이 있다면 알려주세요.	
	68	지금 카페에서 대화를 나누고 싶은 누군가가 있다면?	한가한 주말, 카페에서 편안하게 대화를 나누고 싶은 상대는 누구인가요?	
	69	당신이 생각하는 진짜 부자는?	진짜 부자는 어떤 사람일까요?	
	70	당신이 진짜 부자가 되었을때 무엇을 하고 싶나요?	엄청난 부자가 된다면 무엇을 해보고 싶나요?	
	71	내가 가장 힘들때 찾아가는 사람은?	힘든 순간에 떠오르는 사람은 누구인가요?	
	72	나를 위한 힐링푸드가 있다면?	나만의 힐링푸드는 무엇인가요?	
	73	세상은 점점 나아지고 있나요?	세상이 점점 나아지고 있다고 생각하나요?	
	74	내가 가장 싫어하는 사람에게 한가지 선물을 줄 수 있다면?		
	75	나는 도움을 주는 편 vs 도움을 받는 편?		
	76	내가 가장 좋아하는 사람에게 한가지 선물을 줄 수 있다면?	가장 좋아하는 사람에게 주고싶은 선물은 무엇인가요?	
	77	얼마이상부터 뇌물이라 볼 수 있을까요?		
